"t_id","probability"
8309,0.526015519618988
9017,0.502318418264389
10709,0.525877568244934
3475,0.521006581068039
10140,0.506534360170364
266,0.515569016695023
12749,0.519052688121796
5826,0.522379042387009
1191,0.520905436754227
4810,0.461982390999794
3794,0.506262459635735
8142,0.521401596426964
6986,0.523670951604843
690,0.500773420572281
1009,0.494082732915878
5522,0.498764949679375
7704,0.516017941594124
1471,0.50832935655117
6808,0.503113366484642
2255,0.500862709403038
4134,0.516514478683472
4066,0.529362390160561
4394,0.514667702794075
10876,0.501184699296951
13348,0.520980349063873
3705,0.524958296537399
12302,0.503375467538834
10471,0.506193070888519
6690,0.530817829847336
5606,0.512309440135956
7367,0.495572296857834
9253,0.516735927462578
11387,0.500023029208183
2648,0.516354774355888
4063,0.478015313744545
7034,0.508601919651032
8326,0.524308725714684
3263,0.480234533071518
4155,0.526929904460907
12813,0.506222799777985
12462,0.514854647874832
9802,0.51183252954483
2160,0.515527399778366
6746,0.483322266340256
12306,0.496552631020546
8405,0.515002455830574
1591,0.52453481400013
3932,0.502180080771446
2947,0.507784430384636
7976,0.529125628471375
12731,0.508766894221306
9885,0.478742402553558
348,0.514347588777542
13145,0.495732948184013
12077,0.518239657521248
1116,0.5082027810812
10301,0.497590368509293
12985,0.492811419963837
4477,0.488524627923965
10741,0.484686639308929
4387,0.519355205059052
9320,0.512864292860031
2980,0.508368881821632
1156,0.501605496883392
12358,0.513923343896866
2184,0.521174268841743
3406,0.505962900161743
4545,0.512053427457809
10857,0.50987519466877
1930,0.517524445533752
1789,0.505764843344688
1006,0.510253071665764
11675,0.49329670727253
11955,0.522122514486313
7719,0.478170468330383
5354,0.50141405081749
9687,0.504331252098083
36,0.518909206151962
892,0.510827486634254
10342,0.510471516013145
10259,0.510105713486671
9538,0.495347828865051
4975,0.489537947893143
10375,0.513951136946678
3902,0.501705301523209
6905,0.444799447417259
9889,0.494279945135117
118,0.506053936839104
8039,0.49907939863205
5712,0.506989266633987
8259,0.508942991614342
10571,0.523970807552338
7187,0.496659540295601
1076,0.523696903824806
13059,0.498149865627289
11221,0.517965007424355
8413,0.518213389515877
3749,0.499911465287209
7177,0.491704155564308
9493,0.482392124176025
11209,0.525881190419197
12552,0.526897289037704
6842,0.51088131737709
6700,0.520964578390121
6864,0.515709196925163
7924,0.508499670028687
8932,0.498527938842773
8409,0.51191733956337
3331,0.506769610404968
2875,0.508547306418419
8065,0.508761695146561
12966,0.529800012350082
9366,0.496444533824921
7685,0.520360023260117
80,0.519100242614746
62,0.502584380745888
4837,0.497912467360497
6140,0.509960700631142
